Variable,Coefficient,P_value,Standardized_Coefficient
Intercept,11.71491219746209,1.1891323259877486e-298,11.71491219746209
Spe,-92822423430.86377,0.6867875167783272,92822423430.86377
T,-100178293463.98022,0.6867875167756721,100178293463.98022
N,-39678793961.49658,0.6867875167757829,39678793961.49658
P,-16399601321.368011,0.6867875167794997,16399601321.368011
Rep,0.011938794235122785,0.8527657222443055,0.011938794235122785
AP,0.12970065241439133,0.5713120723216589,0.12970065241439133
NH4,0.7493802969406542,0.020265178819431854,0.7493802969406542
NO3,-0.07691253783096341,0.7435095213805185,0.07691253783096341
ST,1.207913733964113,0.10760499708670065,1.207913733964113
SM,1.8181372566085132,0.03505266283990276,1.8181372566085132
EC,-0.7385464953024949,0.3343344057503643,0.7385464953024949
pH,-0.03319533581031764,0.7920781294351495,0.03319533581031764
HBC,0.16442176875178627,0.4024170966183064,0.16442176875178627
RootC,0.047850023174468514,0.7065626531717778,0.047850023174468514
Rainfall,-67876364697.13257,0.6867875167735831,67876364697.13257
Temp,-305740813940.12695,0.6867875167749322,305740813940.12695
Radio,-386857975936.00195,0.6867875167750095,386857975936.00195
Year_x_Species_2020_AB,22977634778.955933,0.6867875167791624,22977634778.955933
Year_x_Species_2022_AB,-808690470119.6074,0.6867875167750239,808690470119.6074
Year_x_Species_2022_RBF,-315792511516.0508,0.6867875167756231,315792511516.0508
Year_x_Tre_2019_Hay,-996314580883.3926,0.6867875167752252,996314580883.3926
Year_x_Tre_2020_Grazing,-192606857845.12695,0.6867875167751558,192606857845.12695
Year_x_Tre_2020_Hay,-1188921438728.414,0.6867875167752441,1188921438728.414
Year_x_Tre_2022_Grazing,-378623866560.7871,0.6867875167747164,378623866560.7871
Year_x_Tre_2022_Hay,-1683105861669.7344,0.6867875167753672,1683105861669.7344
Year_x_Sub_2019_225N75P,-1123320794189.4062,0.6867875167752888,1123320794189.4062
Year_x_Sub_2019_75N,-996409647177.4688,0.6867875167753466,996409647177.4688
Year_x_Sub_2019_75N75P,-909918094170.6289,0.686787516775258,909918094170.6289
Year_x_Sub_2019_75P,-837432671375.4414,0.6867875167753326,837432671375.4414
Year_x_Sub_2019_CK,-625922136702.7949,0.6867875167751984,625922136702.7949
Year_x_Sub_2019_HN,-589051528219.7559,0.6867875167755093,589051528219.7559
Year_x_Sub_2019_HNP,-786803848889.9121,0.6867875167756275,786803848889.9121
Year_x_Sub_2019_LN,-933709429041.3008,0.686787516775345,933709429041.3008
Year_x_Sub_2019_LNP,-410982610043.1904,0.6867875167757371,410982610043.1904
Year_x_Sub_2019_P,-865850646463.1699,0.6867875167754234,865850646463.1699
Year_x_Sub_2020_CK,-747611416832.8105,0.6867875167753805,747611416832.8105
Year_x_Sub_2020_HNP,-1222496984461.121,0.6867875167751876,1222496984461.121
Year_x_Sub_2020_HP,-602199055463.9062,0.6867875167753217,602199055463.9062
Year_x_Sub_2020_LNP,-696690055889.0781,0.6867875167752302,696690055889.0781
Year_x_Sub_2020_LP,-1135735844634.4766,0.6867875167752846,1135735844634.4766
Year_x_Sub_2020_N,-913233601055.584,0.6867875167753165,913233601055.584
Year_x_Sub_2022_225N,446279725333.8164,0.6867875167753678,446279725333.8164
Year_x_Sub_2022_225N75P,-677041068855.2598,0.6867875167753811,677041068855.2598
Year_x_Sub_2022_75N,-550129921843.583,0.6867875167753674,550129921843.583
Year_x_Sub_2022_75N75P,-463638368836.2197,0.6867875167755326,463638368836.2197
Year_x_Sub_2022_75P,-391152946041.5654,0.6867875167753378,391152946041.5654
Year_x_Sub_2022_CK,-2126692097.6843185,0.6867875167046862,2126692097.6843185
Year_x_Sub_2022_HN,-142771802886.4746,0.6867875167748391,142771802886.4746
Year_x_Sub_2022_HNP,-577119620104.8916,0.6867875167752255,577119620104.8916
Year_x_Sub_2022_HP,143874765523.16455,0.6867875167753429,143874765523.16455
Year_x_Sub_2022_LN,-487429703707.2344,0.6867875167754762,487429703707.2344
Year_x_Sub_2022_LNP,59821482114.67615,0.6867875167761073,59821482114.67615
Year_x_Sub_2022_LP,-389662023647.28613,0.6867875167752966,389662023647.28613
Year_x_Sub_2022_N,-167159780068.58838,0.6867875167751575,167159780068.58838
Year_x_Sub_2022_P,-419570921129.8545,0.6867875167751296,419570921129.8545
Species_x_Tre_AB_Hay,-510514927833.0801,0.6867875167751935,510514927833.0801
Species_x_Tre_RBF_Grazing,-48755449909.24878,0.6867875167814818,48755449909.24878
Species_x_Tre_RBF_Hay,-559270377743.0664,0.6867875167753535,559270377743.0664
Species_x_Sub_AB_HNP,587215325734.8203,0.6867875167750943,587215325734.8203
Species_x_Sub_AB_HP,402335487043.35645,0.6867875167753195,402335487043.35645
Species_x_Sub_AB_LNP,768192139253.0625,0.6867875167752475,768192139253.0625
Species_x_Sub_AB_LP,-99222435664.11719,0.6867875167750357,99222435664.11719
Species_x_Sub_AB_N,89771146874.8772,0.6867875167755032,89771146874.8772
Species_x_Sub_RBF_225N,-1835481651070.875,0.686787516775365,1835481651070.875
Species_x_Sub_RBF_225N75P,-130349264355.10156,0.6867875167754122,130349264355.10156
Species_x_Sub_RBF_75N,-228350853858.20557,0.6867875167754995,228350853858.20557
Species_x_Sub_RBF_75N75P,-287276169790.89453,0.6867875167754398,287276169790.89453
Species_x_Sub_RBF_75P,-1123573061400.5625,0.6867875167753309,1123573061400.5625
Species_x_Sub_RBF_CK,-232179859908.43066,0.6867875167773501,232179859908.43066
Species_x_Sub_RBF_HN,-106900090475.68994,0.6867875167756295,106900090475.68994
Species_x_Sub_RBF_HNP,265657606147.05615,0.6867875167761319,265657606147.05615
Species_x_Sub_RBF_LN,126560906838.41699,0.6867875167747133,126560906838.41699
Species_x_Sub_RBF_LNP,387536237687.93555,0.6867875167754796,387536237687.93555
Species_x_Sub_RBF_P,82406987268.71045,0.686787516775164,82406987268.71045
Tre_x_Sub_Grazing_225N75P,-130349264355.10156,0.6867875167754122,130349264355.10156
Tre_x_Sub_Grazing_75N,-228350853858.20557,0.6867875167754995,228350853858.20557
Tre_x_Sub_Grazing_75N75P,-287276169790.89453,0.6867875167754398,287276169790.89453
Tre_x_Sub_Grazing_75P,439964904382.1328,0.6867875167752778,439964904382.1328
Tre_x_Sub_Grazing_CK,-1472506973046.7852,0.6867875167752426,1472506973046.7852
Tre_x_Sub_Grazing_HNP,-997172903922.6309,0.6867875167753223,997172903922.6309
Tre_x_Sub_Grazing_HP,-1491445273580.9648,0.6867875167753184,1491445273580.9648
Tre_x_Sub_Grazing_LNP,-1660143150420.3203,0.6867875167753228,1660143150420.3203
Tre_x_Sub_Grazing_LP,-601600003345.8086,0.6867875167752985,601600003345.8086
Tre_x_Sub_Grazing_N,-956260687117.1348,0.6867875167753237,956260687117.1348
Tre_x_Sub_Hay_CK,-369397771959.8252,0.6867875167751469,369397771959.8252
Tre_x_Sub_Hay_HN,-106900090475.68994,0.6867875167756295,106900090475.68994
Tre_x_Sub_Hay_HNP,-276108712363.3037,0.6867875167751947,276108712363.3037
Tre_x_Sub_Hay_HP,-693898638879.9004,0.6867875167753015,693898638879.9004
Tre_x_Sub_Hay_LN,126560906838.41699,0.6867875167747131,126560906838.41699
Tre_x_Sub_Hay_LNP,-1193081522652.2148,0.6867875167753101,1193081522652.2148
Tre_x_Sub_Hay_LP,195946631355.23828,0.6867875167754683,195946631355.23828
Tre_x_Sub_Hay_N,-158714052416.1665,0.6867875167751046,158714052416.1665
Tre_x_Sub_Hay_P,71290734045.53918,0.6867875167751416,71290734045.53918
